adresse,pris,ejerudgift,meter
" Paulas Passage 3, 4.  nr. 1, Dahlerups Tårn, Carlsberg Byen",4795000,3932,93
" Bag Elefanterne 25, 2. th., Fristrup Hus, Carlsberg Byen",4795000,3734,81
" Bag Elefanterne 25, 3. tv., Fristrup Hus, Carlsberg Byen",4795000,3553,74
" Malttorvet 22, 1. th., Brygmester Hus, Carlsberg Byen",4795000,4269,86
" Thorvald Bindesbølls Plads 2, st. th.",4795000,3679,97
" Paulas Passage 3, 5.  nr. 1, Dahlerups Tårn, Carlsberg Byen",4845000,3949,93
" Paulas Passage 3, 8.  nr. 6, Dahlerups Tårn, Carlsberg Byen ]",4895000,3965,93
"[ Paulas Passage 3, 17.  nr. 4, Dahlerups Tårn, Carlsberg Byen",4895000,3576,80
" Bryggernes Plads 20, 3.  nr. 4, Caroline Hus, Carlsberg Byen",4945000,4173,101
" J.C. Jacobsens Gade 15, 3. th., Caroline Hus, Carlsberg Byen",4945000,3943,95
" Bryggernes Plads 20, 4.  nr. 3, Caroline Hus, Carlsberg Byen",4945000,3772,87
" J.C. Jacobsens Gade 15, 3. tv., Caroline Hus, Carlsberg Byen",4945000,3943,95
" Paulas Passage 3, 8.  nr. 1, Dahlerups Tårn, Carlsberg Byen",4995000,3999,93
" Bag Elefanterne 27, 5., Fristrup Hus, Carlsberg Byen",4995000,3439,74
" Bag Elefanterne 27, st. th., Fristrup Hus, Carlsberg Byen",4995000,4102,93
" Bag Elefanterne 25, 3. th., Fristrup Hus, Carlsberg Byen",4995000,3800,81
" Gamle Carlsberg Vej 9, 1. th., Brygmester Hus, Carlsberg Byen",4995000,4328,89
" Malttorvet 22, 2. th., Brygmester Hus, Carlsberg Byen",4995000,4328,86
" Malttorvet 20, st. th., Brygmester Hus, Carlsberg Byen",4995000,4698,96
" Malttorvet 18, st. tv., Brygmester Hus, Carlsberg Byen",4995000,4328,88
" Constantin Hansens Gade 25, 5.  nr. 1, Tuxens Tårn, Carlsberg Byen",4995000,4085,102
" Constantin Hansens Gade 25, 4.  nr. 4, Tuxens Tårn, Carlsberg Byen",4995000,4192,105
" Bag Elefanterne 29, 4. tv., Fristrup Hus, Carlsberg Byen",4995000,3499,77
" Bag Elefanterne 31, 1.  nr. 4, Fristrup Hus, Carlsberg Byen",4995000,4192,96
" Bag Elefanterne 29, 4. th., Fristrup Hus, Carlsberg Byen",4995000,3499,77
" Paulas Passage 3, 9.  nr. 1, Dahlerups Tårn, Carlsberg Byen",5045000,4016,93
" Fadet 3, 2. tv., Carlsberg Byen, Mineralvandshuset",5095000,3779,94
" Bag Elefanterne 31, 2.  nr. 4, Fristrup Hus, Carlsberg Byen",5095000,4217,96
" Bryggernes Plads 20, 5.  nr. 3, Caroline Hus, Carlsberg Byen",5145000,3838,87
" J.C. Jacobsens Gade 15, 4. th., Caroline Hus, Carlsberg Byen",5145000,4010,95
" J.C. Jacobsens Gade 15, 4. tv., Caroline Hus, Carlsberg Byen",5145000,4010,95
" Fadet 3, 4. tv., Carlsberg Byen, Mineralvandshuset",5195000,3812,90
" Bag Elefanterne 31, 3. th., Fristrup Hus, Carlsberg Byen",5195000,4251,96
" Paulas Passage 3, 13.  nr. 1, Dahlerups Tårn, Carlsberg Byen",5245000,4074,93
" Paulas Passage 3, 4.  nr. 2, Dahlerups Tårn, Carlsberg Byen",5245000,3684,80
" Paulas Passage 3, 4.  nr. 5, Dahlerups Tårn, Carlsberg Byen",5245000,3684,80
" Kildepladsen 14, 1.  nr. 4, Djørup Hus, Carlsberg Byen",5250000,4261,95
