date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-05 12:22:10,KalundborgNyt,,0,0,0,"Sådan forholder vi os til corona-virus i Kalundborg Kommune https://www.kalundborg.dk/Politik/H&#xF8;ringer/H&#xF8;ringsvisning.aspx?PID=317726&amp;Action=1&amp;NewsId=6838",,,,1235541108727451654,https://twitter.com/KalundborgNyt/status/1235541108727451654
2020-03-05 11:52:11,LarsNunne,,0,0,1,"Interessant indspark. Gode pointer. Den globale landsby https://www.weekendavisen.dk/2020-9/samfund/den-syge-landsby #corona #Pandemie",,,#corona #Pandemie,1235533564097241090,https://twitter.com/LarsNunne/status/1235533564097241090
2020-03-05 11:30:58,Airfrede,wielerman,0,0,0,"F you Corona! ",,,,1235528223892611072,https://twitter.com/Airfrede/status/1235528223892611072
2020-03-05 11:08:59,LarsNunne,,6,7,61,"Nyhed !!!! Snehvide har nu kun 6 dværge tilbage. Prosit er sat i karantæne. #corona",,,#corona,1235522693371506689,https://twitter.com/LarsNunne/status/1235522693371506689
2020-03-05 11:03:25,Marianne_Dauer,,1,0,6,"Det ene var krisemøde om corona... Fra i morgen isolerer vi de italienske chauffører. Så ham der kom fra hubben i Milano og hostede på mig i tirsdags kan i det mindste ikke gøre det igen ",,,,1235521292985446401,https://twitter.com/Marianne_Dauer/status/1235521292985446401
2020-03-05 11:02:21,TheOneMylle,,0,0,2,"Verdens nye sygdom er Corona Overtaget sygdommens tron ja Farlig er den ej, men markedsføring gjorde de godt. Alle medier er bange for lidt hoste og lidt snot. #mongodigt",,,#mongodigt,1235521021500940289,https://twitter.com/TheOneMylle/status/1235521021500940289
2020-03-05 10:43:39,LastRealViking,,0,0,3,"Contemplating self-quarantining myself and the wife somewhere warm with a significantly reduced 5-star hotel with a private beach for a few weeks. No cases reported so far in neither #Barbados or #Mauritius I believe #Corona #COVIDー19 #UndeclaredPandemic #ThursdayThought",,,#Barbados #Mauritius #Corona #COVID #UndeclaredPandemic #ThursdayThought,1235516318360707073,https://twitter.com/LastRealViking/status/1235516318360707073
2020-03-05 10:30:19,ggeorgiev89,doamuslims,0,0,0,"Europe no save - Corona virus",,,,1235512963114496002,https://twitter.com/ggeorgiev89/status/1235512963114496002
2020-03-05 08:54:07,HelleZarp,,0,0,0,"Kræft-kurerede Ida med corona-opråb til danskerne: 'Husk nu på de svagest still ",,,,1235488753487052802,https://twitter.com/HelleZarp/status/1235488753487052802
2020-03-05 08:23:27,wwwjvdk,,0,0,3,"Frygt for corona-virus nedlægger topmøde for verdens energibyer (Dette er en plus-artikel) ",,,,1235481035636387846,https://twitter.com/wwwjvdk/status/1235481035636387846
2020-03-05 08:07:11,UffeLyn,,2,0,1,"3 kundemøder aflyst i dag pga. virksomheders corona-beredskaber #corporatehysteria",,,#corporatehysteria,1235476939961520128,https://twitter.com/UffeLyn/status/1235476939961520128
